date,lambda,mri,nlp_regime,rationale,w_ridge_Mkt_RF,w_ridge_SMB,w_ridge_HML,w_ridge_UMD,w_llm_Mkt_RF,w_llm_SMB,w_llm_HML,w_llm_UMD,w_final_Mkt_RF,w_final_SMB,w_final_HML,w_final_UMD
2015-01-31,0.7455161651726363,1.7888328554855206,0.5504854370010435,Deterministic fallback using macro MRI and NLP regime signals to tilt exposures.,0.0,0.3526816749568407,0.0,0.6473183250431593,0.3803633395156909,0.17978461456862832,0.15007115983232047,0.2897808860833602,0.28356701824799535,0.22378412152659888,0.11188047558120133,0.38076838464420437
2015-02-28,0.607132439821013,-0.32284182807258965,0.5504854370010435,Deterministic fallback using macro MRI and NLP regime signals to tilt exposures.,0.5220018580969423,0.19029969088121274,0.055940237790600665,0.2317582132312443,0.32446801777176304,0.20181980410416595,0.23038851181958256,0.2433236663044885,0.40207265567310185,0.19729392532927864,0.1618534440243811,0.2387799749732385
2015-03-31,0.737626772521439,1.358383978081261,0.752653547458408,Deterministic fallback using macro MRI and NLP regime signals to tilt exposures.,0.20103632783655093,0.5986469626646393,0.08092672201219055,0.11938998748661925,0.3793717238869583,0.1809322891012323,0.15237930827156645,0.2873166787402431,0.3325812904515455,0.29052943616921695,0.13363206260300373,0.24325721077623397
2015-04-30,0.6305678836878453,0.48304352869132955,0.5869693217682652,Deterministic fallback using macro MRI and NLP regime signals to tilt exposures.,0.32767756077402516,0.33615555863077873,0.06681603130150186,0.26935084929369424,0.35100037078549634,0.1921637665943901,0.18697547463983788,0.2698603879802756,0.3423841757246122,0.2453589590579728,0.14258471719246596,0.26967214802494893
2015-05-31,0.6301553124292355,0.479548098847164,0.5869693217682652,Deterministic fallback using macro MRI and NLP regime signals to tilt exposures.,0.34752247587503504,0.3736762334732324,0.071292358596233,0.20750893205549964,0.35164304992592693,0.1920825333282873,0.1859256012368597,0.27034881550892614,0.3501190775034626,0.2592439986232136,0.14352910542721348,0.24710781844611035
2015-06-30,0.6521300695930546,0.49454798351809065,0.7679760257007048,Deterministic fallback using macro MRI and NLP regime signals to tilt exposures.,0.1750595387517313,0.5366455592977186,0.16474099272749498,0.12355390922305517,0.36388761782139034,0.18818057692282866,0.17326775207276682,0.2746640531830143,0.29820000709655087,0.30940106609083906,0.17030154889273033,0.2220973779198798
2015-07-31,0.7688166315762399,1.9822430194787743,0.6575650415943528,Deterministic fallback using macro MRI and NLP regime signals to tilt exposures.,0.319319215490008,0.2416063429305655,0.08515077444636517,0.3539236671330614,0.38645540919207255,0.17827233050871674,0.13704007501347476,0.298232185285736,0.37093463778887925,0.19291410083619198,0.12504413172321743,0.31110712965171133
2015-08-31,0.7939302259331865,2.5736635257518437,0.6575650415943528,Deterministic fallback using macro MRI and NLP regime signals to tilt exposures.,0.18546731889443963,0.4352205867299065,0.19684670395762163,0.1824653904180322,0.39205681791724584,0.17605854208233002,0.1290394352022558,0.30284520479816834,0.34948496652903993,0.22946400606954953,0.14301246375476173,0.27803856364664875
2015-09-30,0.6850682609608494,0.9172800829279866,0.6439638421807102,Deterministic fallback using macro MRI and NLP regime signals to tilt exposures.,0.18183765809169303,0.11939053600624,0.07440964269611339,0.6243621632059535,0.37080829616541,0.18498228061243982,0.16342433642271534,0.28078508679943476,0.31129544448951635,0.1643253584169975,0.13539078412735922,0.38898841296612685
2015-10-31,0.7877065396780627,2.474890772610149,0.632474622099835,Deterministic fallback using macro MRI and NLP regime signals to tilt exposures.,0.5035634251671074,0.14245427652847023,0.06769539206367962,0.2862869062407429,0.3909274446588282,0.176225291366984,0.1322943505591971,0.30055291341499074,0.4148393267176851,0.16905592576833242,0.1185804141269905,0.2975243333869921
