Dataset,Brute Force,,,,,2-Approximation,,,,,Simulated Annealing,,,
Philadelphia,5,6.53,3765538,No,0.374,42,1.10,1733719,Yes,0.817,1.29,1470186.2,Yes,0.043
,10,11.26,3765538,No,0.374,43,1.12,1728475,Yes,0.829,1.27,1470186.2,Yes,0.043
,15,16.23,3724219,No,0.378,44,1.09,1697277,Yes,0.848,1.27,1470186.2,Yes,0.043
,20,21.18,3710782,No,0.380,45,1.10,1722191,Yes,0.896,1.37,1470186.2,Yes,0.043
,25,26.28,3710782,No,0.380,46,1.15,1723248,Yes,0.916,1.33,1470186.2,Yes,0.043
,50,51.18,3710782,No,0.380,47,1.12,1668712,Yes,0.865,1.34,1470186.2,Yes,0.043
,75,76.19,3710782,No,0.380,48,1.21,1715300,Yes,0.840,1.29,1470186.2,Yes,0.043
,100,101.28,3710782,No,0.380,49,1.44,1693572,Yes,0.832,1.58,1470186.2,Yes,0.043
,250,251.28,3624919,No,0.389,50,1.23,1685283,Yes,0.921,1.32,1470186.2,Yes,0.043
,500,501.49,3624919,No,0.389,51,1.25,1695100,Yes,0.852,1.27,1470186.2,Yes,0.043
Roanoke,5,6.11,6861679,No,0.407,42,1.32,802562,Yes,4.471,1.87,3195472.2,Yes,0.145
,10,11.19,6861679,No,0.407,43,1.30,802080,Yes,3.735,1.89,3195472.2,Yes,0.145
,15,16.24,6861679,No,0.407,44,1.27,794281,Yes,4.235,1.84,3195472.2,Yes,0.145
,20,21.19,6861679,No,0.407,45,1.29,801675,Yes,3.481,1.91,3195472.2,Yes,0.145
,25,26.26,6861679,No,0.407,46,1.34,803892,Yes,4.084,1.93,3195472.2,Yes,0.145
,50,51.26,6861290,No,0.407,47,1.35,806892,Yes,4.003,1.91,3195472.2,Yes,0.145
,75,76.21,6857992,No,0.407,48,1.40,795380,Yes,4.106,1.91,3195472.2,Yes,0.145
,100,101.15,6857992,No,0.407,49,1.40,795431,Yes,4.081,1.92,3195472.2,Yes,0.145
,250,251.22,6849948,No,0.407,50,1.24,795468,Yes,3.854,1.95,3195472.2,Yes,0.145
,500,501.26,6849948,No,0.407,51,1.52,795524,Yes,3.928,2.02,3195472.2,Yes,0.145
San Francisco,5,6.19,5712903,No,0.280,42,1.22,1078204,Yes,1.505,1.42,1675613.2,Yes,0.047
,10,11.22,5697031,No,0.281,43,1.25,1045326,Yes,1.621,1.42,1675613.2,Yes,0.047
,15,16.34,5697031,No,0.281,44,1.23,1076544,Yes,1.569,1.51,1675613.2,Yes,0.047
,20,21.22,5683031,No,0.282,45,1.14,1069058,Yes,1.557,1.56,1675613.2,Yes,0.047
,25,26.25,5683031,No,0.282,46,1.46,1078212,Yes,1.536,1.70,1675613.2,Yes,0.047
,50,51.28,5604793,No,0.286,47,1.29,1068233,Yes,1.526,1.70,1675613.2,Yes,0.047
,75,76.18,5604793,No,0.286,48,1.24,1068021,Yes,1.586,1.62,1675613.2,Yes,0.047
,100,101.18,5604793,No,0.286,49,1.23,1090167,Yes,1.635,1.58,1675613.2,Yes,0.047
,250,251.30,5600573,No,0.286,50,1.12,1045326,Yes,1.531,1.56,1675613.2,Yes,0.047
,500,501.16,5600573,No,0.286,51,1.14,1093751,Yes,1.573,1.59,1675613.2,Yes,0.047
Toronto,5,6.24,9223694,No,0.275,42,1.41,1652074,Yes,1.720,1.49,2870171.7,Yes,0.132
,10,11.19,9223694,No,0.275,43,1.58,1651938,Yes,1.990,1.48,2870171.7,Yes,0.132
,15,16.17,9219828,No,0.275,44,1.62,1651069,Yes,1.695,1.62,2870171.7,Yes,0.132
,20,21.18,9219492,No,0.275,45,1.51,1650915,Yes,1.718,1.45,2870171.7,Yes,0.132
,25,26.14,9219353,No,0.275,46,1.46,1607855,Yes,1.745,1.47,2870171.7,Yes,0.132
,50,51.17,9219353,No,0.275,47,1.42,1623952,Yes,1.863,1.51,2870171.7,Yes,0.132
,75,76.19,9219353,No,0.275,48,1.58,1676544,Yes,1.677,1.47,2870171.7,Yes,0.132
,100,101.20,9219353,No,0.275,49,1.53,1597242,Yes,1.587,1.52,2870171.7,Yes,0.132
,250,251.22,9192020,No,0.276,50,1.29,1628988,Yes,1.935,1.58,2870171.7,Yes,0.132
,500,501.28,9179267,No,0.276,51,1.19,1662499,Yes,1.569,1.51,2870171.7,Yes,0.132
Ukansas,5,6.20,62962,No,1.000,42,1.13,70143,Yes,0.898,1.19,62962,Yes,0.000
,10,11.24,62962,No,1.000,43,1.11,70318,Yes,0.895,1.16,62962,Yes,0.000
,15,16.17,62962,No,1.000,44,1.11,69987,Yes,0.900,1.17,62962,Yes,0.000
,20,21.19,62962,No,1.000,45,1.16,69987,Yes,0.900,1.20,62962,Yes,0.000
,25,26.20,62962,No,1.000,46,1.26,70143,Yes,0.898,1.20,62962,Yes,0.000
,50,35.08,62962,No,1.000,47,1.13,71542,Yes,0.880,1.17,62962,Yes,0.000
,75,36.82,62962,No,1.000,48,1.10,67636,Yes,0.931,1.18,62962,Yes,0.000
,100,35.82,62962,No,1.000,49,1.14,70143,Yes,0.898,1.20,62962,Yes,0.000
,250,34.51,62962,No,1.000,50,1.13,70944,Yes,0.887,1.22,62962,Yes,0.000
,500,36.27,62962,No,1.000,51,1.14,70318,Yes,0.895,1.22,62962,Yes,0.000
Umissouri,5,6.17,670811,No,0.353,42,7.93,171306,Yes,1.532,1.45,266850.2,Yes,0.126
,10,11.25,670811,No,0.353,43,1.19,165181,Yes,1.496,1.49,266850.2,Yes,0.126
,15,16.17,670811,No,0.353,44,1.16,171054,Yes,1.696,1.44,266850.2,Yes,0.126
,20,21.21,670811,No,0.353,45,1.30,170078,Yes,1.642,1.51,266850.2,Yes,0.126
,25,26.20,670811,No,0.353,46,1.20,166855,Yes,1.593,1.49,266850.2,Yes,0.126
,50,51.29,668983,No,0.354,47,1.24,169548,Yes,1.504,1.49,266850.2,Yes,0.126
,75,76.33,668983,No,0.354,48,1.20,170112,Yes,1.659,1.54,266850.2,Yes,0.126
,100,101.22,668983,No,0.354,49,1.12,171483,Yes,1.382,1.51,266850.2,Yes,0.126
,250,251.21,662953,No,0.357,50,1.17,170432,Yes,1.639,1.49,266850.2,Yes,0.126
,500,501.21,662935,No,0.357,51,1.15,170155,Yes,1.588,1.51,266850.2,Yes,0.126
