price,assess,bdrms,lotsize,sqrft,colonial,lprice,lassess,llotsize,lsqrft
300,349.10001,4,6126,2438,1,5.7037826,5.8553586,8.7202969,7.7989335
370,351.5,3,9903,2076,1,5.9135032,5.8622098,9.200593,7.6381984
191,217.7,3,5200,1374,0,5.2522736,5.3831182,8.5564137,7.2254815
195,231.8,3,4600,1448,1,5.2729998,5.4458752,8.4338112,7.2779384
373,319.10001,4,6095,2514,1,5.9215784,5.7655044,8.7152243,7.8296304
466.27499,414.5,5,8566,2754,1,6.1447754,6.0270729,9.0555563,7.9208097
332.5,367.79999,3,9000,2067,1,5.8066397,5.9075394,9.1049795,7.6338534
315,300.20001,3,6210,1731,1,5.7525725,5.7044492,8.7339163,7.4564548
206,236.10001,3,6000,1767,0,5.3278761,5.4642553,8.6995144,7.4770384
240,256.29999,3,2892,1890,0,5.480639,5.5463486,7.9697037,7.544332
285,314,4,6000,2336,1,5.6524892,5.749393,8.6995144,7.7561955
300,416.5,5,7047,2634,1,5.7037826,6.0318866,8.8603573,7.8762589
405,434,3,12237,3375,1,6.0038872,6.0730443,9.412219,8.1241503
212,279.29999,3,6460,1899,0,5.3565865,5.6322865,8.773385,7.5490828
265,287.5,3,6519,2312,1,5.57973,5.6612229,8.7824764,7.7458682
227.39999,232.89999,4,3597,1760,1,5.4267106,5.4506092,8.1878557,7.4730692
240,303.79999,4,5922,2000,0,5.480639,5.7163696,8.68643,7.6009026
285,305.60001,3,7123,1774,1,5.6524892,5.7222772,8.8710842,7.4809923
268,266.70001,3,5642,1376,1,5.5909872,5.5861244,8.6379938,7.2269359
310,326,4,8602,1835,1,5.7365723,5.7868972,9.0597496,7.5147996
266,294.29999,3,5494,2048,1,5.5834961,5.6845994,8.611412,7.624619
270,318.79999,3,7800,2124,1,5.5984221,5.764564,8.9618788,7.6610565
225,294.20001,3,6003,1768,0,5.4161005,5.6842599,8.7000151,7.4776044
150,208,4,5218,1732,0,5.0106354,5.3375382,8.5598698,7.4570322
247,239.7,3,9425,1440,1,5.5093884,5.4793882,9.1511211,7.2723985
275,294.10001,3,6114,1932,0,5.6167712,5.6839199,8.7183361,7.5663109
230,267.39999,3,6710,1932,0,5.4380794,5.5887456,8.8113546,7.5663109
343,359.89999,3,8577,2106,1,5.8377304,5.8858261,9.0568399,7.6525459
477.5,478.10001,7,8400,3529,1,6.1685643,6.1698198,9.0359869,8.1687698
350,355.29999,4,9773,2051,1,5.857933,5.8729625,9.1873789,7.6260829
230,217.8,4,4806,1573,1,5.4380794,5.3835773,8.4776201,7.3607397
335,385,4,15086,2829,0,5.8141303,5.9532433,9.6215229,7.9476786
251,224.3,3,5763,1630,1,5.5254531,5.4129844,8.6592131,7.3963351
235,251.89999,4,6383,1840,1,5.4595857,5.5290322,8.7613935,7.5175209
361,354.89999,4,9000,2066,1,5.8888779,5.8718362,9.1049795,7.6333694
190,212.5,4,3500,1702,0,5.2470241,5.358942,8.1605186,7.4395595
360,452.39999,4,10892,2750,1,5.8861041,6.1145668,9.295784,7.9193563
575,518.09998,5,15634,3880,1,6.3543701,6.2501683,9.6572037,8.2635908
209.00101,289.39999,4,6400,1854,1,5.342339,5.66781,8.7640533,7.5251007
225,268.10001,2,8880,1421,0,5.4161005,5.5913601,9.0915565,7.2591162
246,278.5,3,6314,1662,1,5.5053315,5.6294179,8.7505245,7.4157772
713.5,655.40002,5,28231,3331,1,6.5701823,6.4852457,10.248176,8.1110277
248,273.29999,4,7050,1656,1,5.5134287,5.61057,8.8607826,7.4121604
230,212.10001,3,5305,1171,0,5.4380794,5.357058,8.5764055,7.0656133
375,354,5,6637,2293,1,5.9269261,5.869297,8.800415,7.7376161
265,252.10001,3,7834,1764,1,5.57973,5.5298257,8.9662285,7.4753394
313,324,3,1000,2768,0,5.7462034,5.7807436,6.9077554,7.9258804
417.5,475.5,4,8112,3733,0,6.0342846,6.1643667,9.0010996,8.224967
253,256.79999,3,5850,1536,1,5.5333896,5.5482974,8.6741972,7.336937
315,279.20001,4,6660,1638,1,5.7525725,5.6319284,8.803875,7.4012313
264,313.89999,3,6637,1972,1,5.5759492,5.7490745,8.800415,7.5868034
255,279.79999,2,15267,1478,0,5.5412636,5.6340752,9.6334486,7.2984452
210,198.7,3,5146,1408,1,5.3471074,5.2917962,8.5459747,7.2499256
180,221.5,3,6017,1812,1,5.1929569,5.4004226,8.7023439,7.5021863
250,268.39999,3,8410,1722,1,5.521461,5.5924783,9.0371771,7.4512415
250,282.29999,4,5625,1780,1,5.521461,5.6429701,8.6349764,7.4843688
209,230.7,4,5600,1674,1,5.3423343,5.4411182,8.6305218,7.4229712
258,287,4,6525,1850,1,5.5529594,5.659482,8.7833958,7.5229411
289,298.70001,3,6060,1925,1,5.6664267,5.69944,8.709465,7.5626812
316,314.60001,4,5539,2343,0,5.7557421,5.7513022,8.6195688,7.7591872
225,291,3,7566,1567,0,5.4161005,5.6733232,8.9314194,7.3569183
266,286.39999,4,5484,1664,1,5.5834961,5.6573896,8.6095896,7.4169798
310,253.60001,6,5348,1386,1,5.7365723,5.535758,8.5844784,7.2341771
471.25,482,5,15834,2617,1,6.1553888,6.1779442,9.6699152,7.8697839
335,384.29999,4,8022,2321,1,5.8141303,5.9514236,8.9899435,7.7497535
495,543.59998,4,11966,2638,1,6.2045579,6.2982135,9.3898249,7.8777761
279.5,336.5,4,8460,1915,1,5.6330023,5.8185983,9.0431042,7.5574727
380,515.09998,4,15105,2589,1,5.9401712,6.2443609,9.6227808,7.8590269
325,437,4,10859,2709,0,5.7838254,6.0799332,9.2927494,7.904335
220,263.39999,3,6300,1587,1,5.3936276,5.5736737,8.7483053,7.3696008
215,300.39999,3,11554,1694,0,5.3706379,5.7051148,9.3547869,7.4348478
240,250.7,3,6000,1536,1,5.480639,5.5242572,8.6995144,7.336937
725,708.59998,5,31000,3662,0,6.5861716,6.5632911,10.341743,8.2057648
230,276.29999,3,4054,1736,1,5.4380794,5.6214871,8.3074589,7.4593387
306,388.60001,2,20700,2205,0,5.7235851,5.9625506,9.9378891,7.698483
425,252.5,3,5525,1502,0,6.0520892,5.5314112,8.6170387,7.3145528
318,295.20001,4,92681,1696,1,5.7620516,5.6876531,11.436919,7.436028
330,359.5,3,8178,2186,1,5.7990928,5.8847141,9.009203,7.6898289
246,276.20001,4,5944,1928,1,5.5053315,5.6211252,8.6901379,7.5642385
225,249.8,3,18838,1294,0,5.4161005,5.5206604,9.8436317,7.1654935
111,202.39999,4,4315,1535,1,4.7095304,5.310246,8.369853,7.3362856
268.125,254,3,5167,1980,1,5.5914531,5.5373344,8.5500479,7.5908523
244,306.79999,4,7893,2090,1,5.4971681,5.7261958,8.973732,7.6449194
295,318.29999,3,6056,1837,1,5.6869755,5.7629943,8.7088051,7.5158892
236,259.39999,3,5828,1715,0,5.4638319,5.5583711,8.6704292,7.4471684
202.5,258.10001,3,6341,1574,0,5.31074,5.5533471,8.7547922,7.3613753
219,232,2,6362,1185,0,5.3890719,5.4467373,8.7580976,7.077498
242,252,4,4950,1774,1,5.4889379,5.529429,8.507143,7.4809923
