This file was created using the 202510 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks
Mom    is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -12 to - 2.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom
194510,   0.17
194511,   4.31
194512,   1.23
194601,   3.77
194602,  -1.43
194603,   2.70
194604,   3.04
194605,  -0.53
194606,  -2.51
194607,   0.22
194608,  -0.05
194609,   0.70
194610,   0.91
194611,   0.28
194612,   0.09
194701,  -6.32
194702,  -0.50
194703,   4.10
194704,   5.41
194705,   3.37
194706,  -1.84
194707,  -3.38
194708,   3.40
194709,   0.10
194710,   1.56
194711,   4.26
194712,   3.64
194801,  -4.19
194802,   1.41
194803,  -0.25
194804,   4.16
194805,   2.33
194806,   3.97
194807,  -1.60
194808,   0.20
194809,  -1.36
194810,   2.73
194811,   0.58
194812,   4.66
194901,  -2.92
194902,  -0.43
194903,  -0.79
194904,   3.13
194905,   3.06
194906,  -1.29
194907,  -1.47
194908,   1.58
194909,  -1.40
194910,   0.02
194911,   1.25
194912,  -0.82
195001,  -2.36
195002,   1.37
195003,   1.47
195004,   0.26
195005,   0.36
195006,  -1.59
195007,  -0.51
195008,   3.24
195009,  -0.18
195010,   1.51
195011,   3.52
195012,   4.94
195101,   2.32
195102,  -1.95
195103,  -2.93
195104,   5.98
195105,  -0.96
195106,  -2.45
195107,   7.18
195108,   0.66
195109,   0.59
195110,  -0.21
195111,   0.47
195112,   1.75
195201,   1.37
195202,  -0.68
195203,   1.65
195204,  -2.01
195205,   0.56
195206,   1.49
195207,  -0.55
195208,   0.34
195209,   1.73
195210,   2.73
195211,   0.36
195212,   1.54
195301,   0.74
195302,   0.80
195303,   0.14
195304,   1.84
195305,   0.91
195306,   0.00
195307,  -0.37
195308,   2.12
195309,   2.90
195310,   0.25
195311,   1.96
195312,   5.21
195401,  -5.84
195402,   1.04
195403,   2.13
195404,   5.08
195405,  -2.02
195406,   3.55
195407,   0.43
195408,  -0.67
195409,   1.66
195410,   0.92
195411,   1.87
195412,  -1.40
195501,   1.47
195502,   1.04
195503,   0.96
195504,  -0.01
195505,   0.61
195506,   4.72
195507,  -1.22
195508,   1.76
195509,   1.83
195510,  -0.52
195511,   2.57
195512,  -1.30
195601,  -1.48
195602,   2.01
195603,   3.52
195604,   2.67
195605,  -1.60
195606,   2.67
195607,   2.53
195608,  -0.71
195609,  -0.76
195610,   2.40
195611,   3.42
195612,   3.79
195701,  -3.06
195702,   0.36
195703,  -0.27
195704,   0.98
195705,   0.17
195706,   0.69
195707,  -0.03
195708,   0.46
195709,   0.60
195710,   2.02
195711,   1.29
195712,   7.81
195801,  -7.72
195802,   3.72
195803,  -1.65
195804,   1.90
195805,  -1.74
195806,  -0.89
195807,  -3.56
195808,   0.14
195809,  -1.13
195810,   3.13
195811,   1.53
195812,  -0.71
195901,  -0.29
195902,   3.40
195903,   0.22
195904,   3.16
195905,   1.50
195906,   3.14
195907,  -0.35
195908,  -1.00
195909,   0.78
195910,   3.43
195911,   2.29
195912,   1.03
196001,  -3.51
196002,   4.00
196003,   1.41
196004,   2.84
196005,   4.79
196006,   0.89
196007,  -0.70
196008,   1.51
196009,   0.38
196010,   1.26
196011,   3.64
196012,   1.36
196101,  -4.12
196102,   0.99
196103,   4.32
196104,   3.62
196105,  -1.57
196106,   0.30
196107,   0.22
196108,   1.64
196109,   0.79
196110,   3.07
196111,   1.34
196112,  -2.18
196201,  -2.04
196202,  -1.00
196203,   1.89
196204,   2.94
196205,   0.46
196206,   6.40
196207,   0.51
196208,  -0.57
196209,   3.96
196210,   0.79
196211,  -7.19
196212,   5.90
196301,  -2.13
196302,   2.52
196303,   1.58
196304,  -0.10
196305,   0.29
196306,   1.16
196307,   1.01
196308,   1.00
196309,   0.12
196310,   3.13
196311,  -0.78
196312,   1.84
196401,   1.02
196402,   0.33
196403,   0.69
196404,  -0.64
196405,   2.53
196406,   0.47
196407,  -0.38
196408,  -0.25
196409,  -0.39
196410,   0.19
196411,   1.10
196412,  -0.69
196501,  -1.38
196502,   0.24
196503,   0.17
196504,   2.53
196505,   0.55
196506,  -3.18
196507,   4.09
196508,   2.58
196509,   3.29
196510,   3.45
196511,   4.40
196512,  -0.10
196601,   5.28
196602,   4.58
196603,   1.47
196604,   5.88
196605,  -4.71
196606,   3.23
196607,  -1.30
196608,  -2.21
196609,  -1.86
196610,  -5.20
196611,   5.73
196612,   0.99
196701,  -7.00
196702,   3.51
196703,   1.39
196704,   0.52
196705,   0.66
196706,   6.01
196707,  -1.10
196708,  -1.32
196709,   2.39
196710,   3.68
196711,   1.22
196712,   3.20
196801,  -4.46
196802,  -3.34
196803,   3.19
196804,   5.11
196805,   3.75
196806,  -2.09
196807,  -0.89
196808,   1.90
196809,  -0.64
196810,  -1.46
196811,   1.74
196812,   0.32
196901,  -0.15
196902,  -2.55
196903,   4.06
196904,   1.24
196905,   1.81
196906,  -2.31
196907,   1.82
196908,   2.14
196909,   2.43
196910,  -4.36
196911,   3.67
196912,   5.27
197001,   0.56
197002,   0.27
197003,  -0.36
197004,  -0.83
197005,  -2.66
197006,   5.64
197007,  -3.12
197008,  -6.68
197009,  -8.64
197010,   9.45
197011,   2.59
197012,  -2.30
197101,  -6.86
197102,   0.82
197103,  -1.40
197104,   1.36
197105,   0.93
197106,   2.69
197107,  -2.32
197108,   3.44
197109,   2.10
197110,   0.50
197111,   1.51
197112,  -0.62
197201,   0.07
197202,   2.53
197203,   2.94
197204,   2.79
197205,   3.33
197206,   1.90
197207,   2.68
197208,  -5.36
197209,   1.83
197210,   0.70
197211,  -5.08
197212,   4.95
197301,   3.80
197302,   2.22
197303,   3.55
197304,   6.35
197305,   7.19
197306,   4.33
197307, -11.67
197308,   3.59
197309,  -6.98
197310,   6.78
197311,   8.93
197312,  10.16
197401,  -8.92
197402,   0.37
197403,  -1.00
197404,   2.06
197405,  -0.29
197406,   2.32
197407,   3.00
197408,   3.03
197409,   4.24
197410,  -0.53
197411,   2.20
197412,   2.98
197501, -13.80
197502,  -0.58
197503,  -2.07
197504,   1.51
197505,  -0.58
197506,  -0.04
197507,   0.34
197508,  -0.16
197509,   0.40
197510,  -0.22
197511,  -0.50
197512,  -0.10
197601,   4.37
197602,   0.38
197603,   0.22
197604,   0.53
197605,  -1.07
197606,  -0.44
197607,  -0.15
197608,  -0.78
197609,   0.20
197610,  -0.43
197611,   2.82
197612,   0.73
197701,   4.05
197702,   0.34
197703,   0.68
197704,   4.19
197705,   2.01
197706,   1.60
197707,   0.38
197708,  -1.63
197709,   2.10
197710,  -0.12
197711,   2.14
197712,   1.59
197801,  -0.58
197802,   1.96
197803,   1.45
197804,   0.49
197805,   2.77
197806,   2.78
197807,   4.19
197808,   3.00
197809,  -3.20
197810,  -8.42
197811,   5.45
197812,   3.01
197901,  -1.43
197902,  -0.99
197903,   2.91
197904,   0.87
197905,  -0.55
197906,   0.77
197907,  -1.07
197908,  -0.29
197909,   5.28
197910,   2.04
197911,   8.03
197912,   4.72
198001,   7.45
198002,   7.89
198003,  -9.58
198004,  -0.48
198005,  -1.18
198006,   1.58
198007,   0.29
198008,   3.06
198009,   5.43
198010,   7.13
198011,  15.15
198012,  -6.71
198101,  -7.82
198102,  -1.35
198103,   0.82
198104,  -1.08
198105,   3.56
198106,  -5.67
198107,  -2.44
198108,  -1.10
198109,   2.13
198110,   3.83
198111,  -0.21
198112,   1.28
198201,   1.77
198202,   4.87
198203,   2.90
198204,  -0.46
198205,   2.51
198206,   4.89
198207,   4.40
198208,  -3.60
198209,   4.14
198210,   0.01
198211,   5.92
198212,  -0.02
198301,  -1.63
198302,   3.69
198303,   0.88
198304,   1.63
198305,  -1.55
198306,   1.83
198307,  -3.08
198308,  -5.38
198309,  -0.01
198310,  -4.46
198311,  -0.14
198312,   0.81
198401,  -2.57
198402,   0.45
198403,   1.09
198404,   2.14
198405,   1.54
198406,  -0.53
198407,   2.77
198408,  -5.62
198409,   3.66
198410,   3.28
198411,   1.56
198412,   1.46
198501,  -6.82
198502,   1.90
198503,   1.78
198504,   2.95
198505,   4.05
198506,   3.37
198507,  -3.69
198508,   1.77
198509,   1.60
198510,   4.87
198511,  -0.55
198512,  -0.23
198601,   2.95
198602,   2.56
198603,   2.38
198604,  -0.35
198605,   2.06
198606,   4.94
198607,   1.89
198608,  -5.17
198609,  -5.68
198610,   4.48
198611,  -0.27
198612,   0.45
198701,   2.03
198702,  -2.22
198703,   1.66
198704,   0.20
198705,  -0.77
198706,  -0.22
198707,   2.57
198708,  -0.95
198709,   0.80
198710,  -7.75
198711,  -1.21
198712,   5.88
198801,  -7.35
198802,  -1.45
198803,   0.61
198804,   2.20
198805,   0.66
198806,  -3.02
198807,   0.66
198808,   0.36
198809,   0.29
198810,   1.30
198811,   0.18
198812,   0.31
198901,  -0.25
198902,   0.99
198903,   3.51
198904,   1.71
198905,   1.42
198906,   0.40
198907,   5.32
198908,  -0.49
198909,   3.51
198910,   1.35
198911,   2.70
198912,   2.79
199001,  -2.98
199002,  -0.51
199003,   1.72
199004,   2.28
199005,   3.14
199006,   2.49
199007,   6.04
199008,   1.97
199009,   5.71
199010,   6.74
199011,  -5.36
199012,   0.25
199101,  -6.47
199102,  -4.94
199103,   2.71
199104,  -2.32
199105,  -0.09
199106,   0.42
199107,   4.26
199108,   1.58
199109,   1.75
199110,   3.18
199111,   1.18
199112,   8.29
199201,  -2.50
199202,  -0.70
199203,  -0.21
199204,  -2.55
199205,   0.06
199206,  -0.57
199207,   1.47
199208,  -0.47
199209,   1.44
199210,   2.50
199211,  -0.25
199212,   4.33
199301,   4.85
199302,   3.18
199303,   3.70
199304,   0.36
199305,   0.21
199306,   4.57
199307,   3.22
199308,   2.54
199309,   3.39
199310,  -2.67
199311,  -4.77
199312,   2.33
199401,   0.11
199402,  -0.34
199403,  -1.32
199404,   0.33
199405,  -2.05
199406,  -0.90
199407,   0.11
199408,   1.54
199409,   1.32
199410,   1.31
199411,  -0.12
199412,   3.45
199501,  -1.84
199502,  -0.47
199503,   0.45
199504,   1.80
199505,  -0.55
199506,   3.01
199507,   2.60
199508,   0.05
199509,   2.86
199510,   4.17
199511,  -0.72
199512,   2.48
199601,   0.57
199602,   0.57
199603,  -1.85
199604,  -0.94
199605,   1.62
199606,   1.02
199607,  -0.15
199608,  -0.02
199609,   2.67
199610,   3.72
199611,  -2.35
199612,   0.53
199701,   1.87
199702,  -2.18
199703,   0.88
199704,   4.83
199705,  -5.19
199706,   2.59
199707,   3.70
199708,  -2.57
199709,   1.46
199710,  -0.53
199711,   0.38
199712,   3.91
199801,   0.05
199802,  -1.19
199803,   2.13
199804,   0.76
199805,   1.91
199806,   7.26
199807,   3.79
199808,   1.90
199809,  -0.65
199810,  -5.33
199811,   1.13
199812,   8.87
199901,   2.84
199902,  -0.14
199903,  -1.21
199904,  -8.98
199905,  -5.25
199906,   4.66
199907,   1.70
199908,   2.98
199909,   6.38
199910,   5.45
199911,   5.49
199912,  13.14
200001,   1.86
200002,  18.02
200003,  -6.85
200004,  -8.60
200005,  -8.99
200006,  16.63
200007,  -0.16
200008,   5.59
200009,   1.89
200010,  -4.56
200011,  -2.17
200012,   6.59
200101, -25.35
200102,  12.60
200103,   8.65
200104,  -8.01
200105,   2.15
200106,   0.62
200107,   5.48
200108,   5.46
200109,  11.38
200110,  -8.32
200111,  -8.61
200112,   0.02
200201,   3.65
200202,   6.83
200203,  -1.69
200204,   7.70
200205,   3.09
200206,   6.24
200207,   3.63
200208,   1.87
200209,   9.18
200210,  -5.58
200211, -16.43
200212,   9.72
200301,   1.59
200302,   1.21
200303,   1.40
200304,  -9.35
200305, -10.75
200306,  -1.23
200307,  -0.30
200308,  -0.53
200309,  -0.07
200310,   4.01
200311,   1.36
200312,  -5.54
200401,   2.57
200402,  -1.17
200403,   0.19
200404,  -5.34
200405,   1.49
200406,   2.08
200407,  -2.24
200408,  -1.55
200409,   5.48
200410,  -1.43
200411,   3.08
200412,  -2.85
200501,   2.96
200502,   3.43
200503,   0.43
200504,  -0.68
200505,   0.37
200506,   2.07
200507,   0.03
200508,   2.07
200509,   3.46
200510,  -1.19
200511,   0.34
200512,   0.78
200601,   2.52
200602,  -1.78
200603,   1.26
200604,   0.60
200605,  -3.66
200606,   1.55
200607,  -2.04
200608,  -3.36
200609,  -0.98
200610,  -0.25
200611,  -1.04
200612,   0.79
200701,   0.17
200702,  -1.29
200703,   2.58
200704,  -0.16
200705,  -0.33
200706,   0.52
200707,   2.84
200708,  -0.03
200709,   4.43
200710,   5.03
200711,   1.12
200712,   6.56
200801,  -7.74
200802,   6.13
200803,   4.25
200804,  -0.33
200805,   3.39
200806,  12.71
200807,  -5.02
200808,  -4.48
200809,   0.86
200810,   7.87
200811,   7.28
200812,  -5.09
200901,  -2.36
200902,   4.36
200903, -11.83
200904, -34.34
200905, -12.53
200906,   5.45
200907,  -5.54
200908,  -9.10
200909,  -4.87
200910,   2.49
200911,   0.39
200912,   3.00
201001,  -5.33
201002,   3.69
201003,   3.57
201004,   3.16
201005,  -0.20
201006,  -2.70
201007,   1.78
201008,   0.04
201009,   1.38
201010,   1.46
201011,   2.73
201012,  -3.00
201101,  -0.30
201102,   1.88
201103,   3.45
201104,   0.05
201105,  -0.60
201106,   1.82
201107,   0.20
201108,  -0.27
201109,  -2.40
201110,  -1.40
201111,   3.88
201112,   1.83
201201,  -8.01
201202,  -0.26
201203,   1.31
201204,   3.72
201205,   6.44
201206,  -1.10
201207,   3.00
201208,  -2.35
201209,  -1.13
201210,   0.05
201211,   0.53
201212,  -2.93
201301,  -1.82
201302,   1.23
201303,   1.92
201304,   0.22
201305,  -2.01
201306,   0.43
201307,   1.74
201308,   0.04
201309,   3.02
201310,   0.02
201311,   0.39
201312,   0.02
201401,   1.61
201402,   2.13
201403,  -3.27
201404,  -3.82
201405,   0.89
201406,   0.65
201407,  -0.17
201408,   0.83
201409,   0.60
201410,  -0.21
201411,   0.69
201412,   1.03
201501,   3.74
201502,  -3.10
201503,   2.70
201504,  -7.27
201505,   5.68
201506,   3.01
201507,   9.97
201508,  -2.16
201509,   5.24
201510,  -3.19
201511,   2.29
201512,   3.34
201601,   1.60
201602,  -4.35
201603,  -5.04
201604,  -5.98
201605,   1.47
201606,   4.20
201607,  -3.31
201608,  -3.41
201609,   0.26
201610,   0.51
201611,  -4.77
201612,  -0.27
201701,  -0.93
201702,  -1.51
201703,  -0.97
201704,   0.48
201705,   1.50
201706,  -0.10
201707,   1.63
201708,   3.31
201709,  -1.35
201710,   4.21
201711,  -0.94
201712,  -1.55
201801,   4.08
201802,   3.68
201803,  -1.20
201804,   0.45
201805,   3.91
201806,  -2.26
201807,  -1.43
201808,   5.30
201809,  -0.08
201810,  -2.06
201811,  -1.40
201812,   1.76
201901,  -8.62
201902,   0.50
201903,   2.24
201904,  -2.91
201905,   7.55
201906,  -2.24
201907,   2.92
201908,   7.51
201909,  -6.74
201910,   0.13
201911,  -2.54
201912,  -2.22
202001,   6.02
202002,  -0.28
202003,   8.21
202004,  -5.48
202005,   0.16
202006,  -0.83
202007,   7.71
202008,   0.46
202009,   3.19
202010,  -3.14
202011, -12.55
202012,  -2.37
202101,   4.31
202102,  -7.90
202103,  -6.11
202104,   1.23
202105,   0.56
202106,   2.07
202107,  -2.18
202108,   2.63
202109,   1.39
202110,   3.32
202111,   0.96
202112,  -2.39
202201,  -2.42
202202,   1.66
202203,   2.94
202204,   5.00
202205,   2.54
202206,   1.09
202207,  -4.36
202208,   1.85
202209,   3.67
202210,   3.90
202211,  -1.70
202212,   4.91
202301, -16.17
202302,   0.55
202303,  -2.35
202304,   1.76
202305,  -0.88
202306,  -2.69
202307,  -4.06
202308,   3.78
202309,   0.33
202310,   1.67
202311,   2.56
202312,  -5.53
202401,   5.42
202402,   4.90
202403,  -0.32
202404,  -0.43
202405,  -0.16
202406,   0.85
202407,  -2.35
202408,   4.81
202409,  -0.62
202410,   3.00
202411,   1.00
202412,  -0.30
202501,   0.96
202502,  -0.81
202503,  -2.84
202504,   4.97
202505,   2.21
202506,  -2.64
202507,  -0.96
202508,  -3.54
202509,   4.63
202510,   0.31

Annual Factors:
January-December 
,Mom
  1927,  24.45
  1928,  26.53
  1929,  19.72
  1930,  24.11
  1931,  23.29
  1932, -20.58
  1933,  18.19
  1934,  18.78
  1935,  21.19
  1936,   5.90
  1937,  -3.96
  1938,  -3.30
  1939,  -0.36
  1940,   5.93
  1941,  10.34
  1942, -16.48
  1943,  14.48
  1944,   9.70
  1945,  16.09
  1946,   5.83
  1947,  14.91
  1948,  11.63
  1949,   0.44
  1950,  15.18
  1951,  11.02
  1952,   9.09
  1953,  16.20
  1954,  10.24
  1955,  13.99
  1956,  19.00
  1957,   9.69
  1958,  -9.50
  1959,  19.40
  1960,  17.10
  1961,  10.84
  1962,  12.07
  1963,  11.56
  1964,   4.55
  1965,  20.05
  1966,   9.88
  1967,  21.77
  1968,   2.77
  1969,  10.35
  1970,  -4.04
  1971,   3.31
  1972,  15.20
  1973,  29.67
  1974,   8.35
  1975, -19.19
  1976,   7.39
  1977,  18.03
  1978,  11.78
  1979,  26.18
  1980,  36.06
  1981,  -8.08
  1982,  34.02
  1983,  -9.73
  1984,   9.34
  1985,  14.82
  1986,  10.45
  1987,  -3.88
  1988,  -5.62
  1989,  27.16
  1990,  18.68
  1991,  14.24
  1992,   3.03
  1993,  23.64
  1994,   3.06
  1995,  17.62
  1996,   6.25
  1997,  11.09
  1998,  23.28
  1999,  33.89
  2000,  14.70
  2001,   4.58
  2002,  25.63
  2003, -24.59
  2004,  -0.40
  2005,  14.91
  2006,  -7.70
  2007,  21.80
  2008,  13.80
  2009, -83.81
  2010,   6.81
  2011,   7.30
  2012,   0.98
  2013,   7.05
  2014,   0.89
  2015,  19.95
  2016, -20.91
  2017,   4.65
  2018,   9.58
  2019,  -2.25
  2020,   7.44
  2021,  -2.33
  2022,  15.97
  2023, -24.49
  2024,  17.95

Copyright 2025 Eugene F. Fama and Kenneth R. French
