Date,Asset,Quartile,MeanBeta,ExcessReturn,WeightType
2023-01-31,FIAT,1,-0.21105802,0.3390070209891629,Value
2023-01-31,FIAT,2,-0.14875168,0.3148680842510103,Value
2023-01-31,FIAT,3,-0.14727242,0.3564638438525583,Value
2023-01-31,FIAT,4,-0.1402682,0.30315844530440383,Value
2023-01-31,FIAT,Q4-Q1,0.07078982,-0.035848575684759076,Value
2023-02-28,FIAT,1,-0.13200584,-0.0076429214172657476,Value
2023-02-28,FIAT,2,-0.10492374,-0.0195673137272383,Value
2023-02-28,FIAT,3,-0.069224074,-0.03162963282412434,Value
2023-02-28,FIAT,4,-0.034869622,-0.022965666843773214,Value
2023-02-28,FIAT,Q4-Q1,0.09713621800000001,-0.015322745426507467,Value
2023-03-31,FIAT,1,0.010241307,-0.03039422211583087,Value
2023-03-31,FIAT,2,0.07468458,0.2239376104973667,Value
2023-03-31,FIAT,3,0.10381814,-0.04296743750631382,Value
2023-03-31,FIAT,4,0.10925973,0.14301880116968047,Value
2023-03-31,FIAT,Q4-Q1,0.099018423,0.17341302328551134,Value
2023-05-31,FIAT,1,-0.05651974,0.009631549214383028,Value
2023-05-31,FIAT,2,-0.03947875,-0.08731775778911643,Value
2023-05-31,FIAT,3,-0.016418092,-0.012894439911917745,Value
2023-05-31,FIAT,4,0.0055291206,-0.051954494528190225,Value
2023-05-31,FIAT,Q4-Q1,0.0620488606,-0.06158604374257325,Value
2023-06-30,FIAT,1,-0.09772012,1.0041856187270932,Value
2023-06-30,FIAT,2,-0.08303632,0.04354106093668886,Value
2023-06-30,FIAT,3,-0.056272652,0.12483959739660211,Value
2023-06-30,FIAT,4,-0.051610865,0.19829633603700625,Value
2023-06-30,FIAT,Q4-Q1,0.046109254999999995,-0.805889282690087,Value
2023-07-31,FIAT,1,-0.13196474,-0.029036138530777578,Value
2023-07-31,FIAT,2,-0.107997686,-0.19699275885746115,Value
2023-07-31,FIAT,3,-0.0962334,-0.028911707053916658,Value
2023-07-31,FIAT,4,-0.069285944,-0.15358104941560846,Value
2023-07-31,FIAT,Q4-Q1,0.062678796,-0.12454491088483088,Value
2023-08-31,FIAT,1,-0.073571585,-0.3881305173035843,Value
2023-08-31,FIAT,2,-0.07012705,-0.14064646604012765,Value
2023-08-31,FIAT,3,-0.027558897,-0.14007998846536474,Value
2023-08-31,FIAT,4,0.08415338,-0.19732639283200193,Value
2023-08-31,FIAT,Q4-Q1,0.157724965,0.19080412447158235,Value
2023-10-31,FIAT,1,-0.22173324,0.03587196269607151,Value
2023-10-31,FIAT,2,-0.18206954,0.03168488125313118,Value
2023-10-31,FIAT,3,-0.056459412,0.23940716165404208,Value
2023-10-31,FIAT,4,-0.021372046,0.07119441517334923,Value
2023-10-31,FIAT,Q4-Q1,0.200361194,0.03532245247727772,Value
2023-11-30,FIAT,1,-0.13004136,0.11425955246361053,Value
2023-11-30,FIAT,2,-0.11436328,0.1526038659507698,Value
2023-11-30,FIAT,3,-0.09935961,0.03736800358359904,Value
2023-11-30,FIAT,4,-0.056408197,-0.0720538050158428,Value
2023-11-30,FIAT,Q4-Q1,0.073633163,-0.18631335747945332,Value
2023-01-31,EQUITY,1,0.023442168,0.24928021790230628,Value
2023-01-31,EQUITY,2,0.032881502,0.22514128116415363,Value
2023-01-31,EQUITY,3,0.039312664,0.2667370407657016,Value
2023-01-31,EQUITY,4,0.053804953,0.21343164221754715,Value
2023-01-31,EQUITY,Q4-Q1,0.030362785000000003,-0.03584857568475913,Value
2023-02-28,EQUITY,1,-0.043609142,0.03742646928835411,Value
2023-02-28,EQUITY,2,-0.018644575,0.013439757881495512,Value
2023-02-28,EQUITY,3,-0.012436405,0.025502076978381555,Value
2023-02-28,EQUITY,4,0.031486157,0.02210372386184664,Value
2023-02-28,EQUITY,Q4-Q1,0.075095299,-0.015322745426507467,Value
2023-03-31,EQUITY,1,0.023928579,-0.07021307221264361,Value
2023-03-31,EQUITY,2,0.03060029,-0.08278628760312656,Value
2023-03-31,EQUITY,3,0.030830037,0.10319995107286772,Value
2023-03-31,EQUITY,4,0.05211221,0.18411876040055397,Value
2023-03-31,EQUITY,Q4-Q1,0.028183631,0.2543318326131976,Value
2023-05-31,EQUITY,1,-0.0021586232,-0.0732519495685228,Value
2023-05-31,EQUITY,2,-0.00037091225,-0.0378886863075966,Value
2023-05-31,EQUITY,3,0.026095804,0.02369735743497666,Value
2023-05-31,EQUITY,4,0.028533403,0.0011713683086758905,Value
2023-05-31,EQUITY,Q4-Q1,0.0306920262,0.07442331787719869,Value
2023-06-30,EQUITY,1,0.052949157,-0.032508465814949594,Value
